Label,A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7
Specificity Sum,626,662,723,309,267,294,269,251,268,288,249
Accuracy Sum,545.4910730371603,580.3117244928887,630.5373404833714,255.58458029453985,218.61691046542762,244.63480241255473,223.90005324090984,208.50519153294024,225.310148776247,242.3999408531386,205.9336505069403
