Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
35,0.8888888888888888,0,25,26,1,1,35.0,0,0,0,1,0,0.003551006317138672,0.0007700920104980469,3.361701965332031e-05,2.002716064453125e-05,2.09808349609375e-05,0.0015540122985839844
36,0.8648648648648649,0,25,26,4,1,29.0,0,0,0,0,0,0.0037119388580322266,0.0008203983306884766,3.457069396972656e-05,2.002716064453125e-05,2.09808349609375e-05,0.0016324520111083984
37,0.8421052631578947,0,26,28,2,1,6.0,0,0,1,0,0,0.003922939300537109,0.0008623600006103516,3.552436828613281e-05,4.887580871582031e-05,3.981590270996094e-05,0.0016596317291259766
38,0.8461538461538461,0,26,28,3,1,11.0,0,0,0,0,0,0.004112958908081055,0.0008995532989501953,3.647804260253906e-05,4.887580871582031e-05,5.1975250244140625e-05,0.0017135143280029297
39,0.825,0,26,28,3,2,13.0,0,0,0,0,0,0.004289150238037109,0.0009324550628662109,3.7670135498046875e-05,4.887580871582031e-05,5.1975250244140625e-05,0.0017924308776855469
40,0.8048780487804879,0,26,28,2,1,16.0,0,0,0,0,0,0.004477024078369141,0.0010194778442382812,3.886222839355469e-05,4.887580871582031e-05,5.1975250244140625e-05,0.0018703937530517578
41,0.7857142857142857,0,27,29,2,1,41.0,0,0,0,1,0,0.004602909088134766,0.001058340072631836,3.981590270996094e-05,4.887580871582031e-05,5.1975250244140625e-05,0.0019154548645019531
42,0.7906976744186046,0,27,29,2,1,31.0,0,0,0,0,0,0.004693031311035156,0.001102447509765625,4.0531158447265625e-05,4.887580871582031e-05,5.1975250244140625e-05,0.0019392967224121094
43,0.7727272727272727,0,28,30,2,1,43.0,0,0,0,1,0,0.004843950271606445,0.0011377334594726562,4.172325134277344e-05,4.887580871582031e-05,5.1975250244140625e-05,0.002019166946411133
44,0.7555555555555555,0,29,31,2,1,44.0,0,0,0,1,0,0.005018949508666992,0.0011887550354003906,4.267692565917969e-05,4.887580871582031e-05,5.1975250244140625e-05,0.002096414566040039
45,0.7391304347826086,0,29,31,3,1,11.0,0,0,0,0,0,0.005135774612426758,0.0012254714965820312,4.38690185546875e-05,4.887580871582031e-05,5.1975250244140625e-05,0.0021495819091796875
46,0.7446808510638298,0,29,31,1,1,9.0,0,0,0,0,0,0.0053119659423828125,0.0012683868408203125,4.482269287109375e-05,4.887580871582031e-05,6.723403930664062e-05,0.0021932125091552734
47,0.75,0,29,31,1,1,11.0,0,0,0,0,0,0.005419015884399414,0.0013115406036376953,4.553794860839844e-05,4.887580871582031e-05,6.723403930664062e-05,0.002237081527709961
48,0.7551020408163265,0,29,31,1,1,11.0,0,0,0,0,0,0.005574941635131836,0.001348733901977539,4.649162292480469e-05,4.887580871582031e-05,6.723403930664062e-05,0.002307415008544922
49,0.74,0,30,32,2,1,49.0,0,0,0,1,0,0.005728006362915039,0.0014145374298095703,4.7206878662109375e-05,4.887580871582031e-05,6.723403930664062e-05,0.0023734569549560547
50,0.72,0,31,33,3,1,50.0,0,0,0,1,0,0.005834102630615234,0.0014495849609375,4.7206878662109375e-05,4.887580871582031e-05,6.723403930664062e-05,0.0024127960205078125
51,0.72,0,32,35,2,2,17.333333333333332,0,0,1,0,0,0.0061528682708740234,0.00148773193359375,4.8160552978515625e-05,7.891654968261719e-05,0.0002052783966064453,0.0024487972259521484
52,0.72,0,32,35,2,2,13.0,0,0,0,0,0,0.0062558650970458984,0.0015265941619873047,4.9114227294921875e-05,7.891654968261719e-05,0.0002052783966064453,0.0024907588958740234
53,0.72,0,32,35,2,1,31.0,0,0,0,0,0,0.006353855133056641,0.0015664100646972656,5.030632019042969e-05,7.891654968261719e-05,0.0002052783966064453,0.002529621124267578
54,0.7,0,33,37,3,1,8.0,0,0,1,0,0,0.006537914276123047,0.001604318618774414,5.1021575927734375e-05,0.0001049041748046875,0.00021529197692871094,0.002567768096923828
55,0.7,0,33,37,1,1,31.0,0,0,0,0,0,0.006639957427978516,0.0016493797302246094,5.1975250244140625e-05,0.0001049041748046875,0.00021529197692871094,0.0026056766510009766
56,0.7,0,34,38,1,1,56.0,0,0,0,1,0,0.006745100021362305,0.0016894340515136719,5.316734313964844e-05,0.0001049041748046875,0.00021529197692871094,0.0026428699493408203
57,0.7,0,36,40,1,1,5.0,0,0,2,0,0,0.006938934326171875,0.0017333030700683594,5.412101745605469e-05,0.00013589859008789062,0.00022530555725097656,0.0026788711547851562
58,0.7,0,36,40,2,2,55.5,0,0,0,0,0,0.007044076919555664,0.0017762184143066406,5.507469177246094e-05,0.00013589859008789062,0.00022530555725097656,0.0027174949645996094
59,0.68,0,37,41,2,1,59.0,0,0,0,1,0,0.007154941558837891,0.001821279525756836,5.626678466796875e-05,0.00013589859008789062,0.00022530555725097656,0.0027544498443603516
60,0.68,0,37,41,1,1,59.0,0,0,0,0,0,0.007257223129272461,0.00186920166015625,5.7220458984375e-05,0.00013589859008789062,0.00022530555725097656,0.0027904510498046875
61,0.7,0,37,41,4,3,24.5,0,0,0,0,0,0.007369041442871094,0.0019152164459228516,5.817413330078125e-05,0.00013589859008789062,0.00022530555725097656,0.0028290748596191406
62,0.7,0,37,41,4,3,24.5,0,0,0,0,0,0.007481098175048828,0.0019609928131103516,5.91278076171875e-05,0.00013589859008789062,0.00022530555725097656,0.002868175506591797
63,0.68,0,38,42,3,1,63.0,0,0,0,1,0,0.007603883743286133,0.0020117759704589844,6.008148193359375e-05,0.00013589859008789062,0.00022530555725097656,0.0029082298278808594
64,0.66,0,38,42,2,1,31.0,0,0,0,0,0,0.0077550411224365234,0.0020580291748046875,6.103515625e-05,0.00013589859008789062,0.00023651123046875,0.002946138381958008
65,0.66,0,39,43,1,1,65.0,0,0,0,1,0,0.007867813110351562,0.002103090286254883,6.103515625e-05,0.00013589859008789062,0.00023651123046875,0.002984285354614258
66,0.66,0,41,45,2,2,33.5,0,0,2,0,0,0.008075952529907227,0.002151966094970703,6.222724914550781e-05,0.00016880035400390625,0.0002512931823730469,0.0030210018157958984
67,0.66,0,41,45,3,1,50.0,0,0,0,0,0,0.008192062377929688,0.0022020339965820312,6.318092346191406e-05,0.00016880035400390625,0.0002512931823730469,0.0030622482299804688
68,0.64,0,41,45,3,1,31.0,0,0,0,0,0,0.008307933807373047,0.0022568702697753906,6.413459777832031e-05,0.00016880035400390625,0.0002512931823730469,0.003100156784057617
69,0.62,0,41,45,2,1,31.0,0,0,0,0,0,0.008414030075073242,0.002305746078491211,6.413459777832031e-05,0.00016880035400390625,0.0002512931823730469,0.003138303756713867
70,0.6,0,42,46,4,1,70.0,0,0,0,1,0,0.008545160293579102,0.0023593902587890625,6.508827209472656e-05,0.00016880035400390625,0.0002512931823730469,0.0031774044036865234
71,0.6,0,42,46,4,3,24.5,0,0,0,0,0,0.008662939071655273,0.002411365509033203,6.628036499023438e-05,0.00016880035400390625,0.0002512931823730469,0.0032176971435546875
72,0.58,0,43,48,4,2,10.75,0,0,1,0,0,0.008857965469360352,0.002460479736328125,6.747245788574219e-05,0.0001926422119140625,0.0002663135528564453,0.003257274627685547
73,0.56,0,44,49,2,1,73.0,0,0,0,1,0,0.008976936340332031,0.002510547637939453,6.866455078125e-05,0.0001926422119140625,0.0002663135528564453,0.0032961368560791016
74,0.56,0,44,49,3,2,10.75,0,0,0,0,0,0.009098052978515625,0.002567291259765625,6.961822509765625e-05,0.0001926422119140625,0.0002663135528564453,0.003336191177368164
75,0.58,0,44,49,2,1,31.0,0,0,0,0,0,0.009212017059326172,0.00262451171875,6.961822509765625e-05,0.0001926422119140625,0.0002663135528564453,0.0033745765686035156
76,0.58,0,45,50,1,1,76.0,0,0,0,1,0,0.009330034255981445,0.0026776790618896484,6.961822509765625e-05,0.0001926422119140625,0.0002663135528564453,0.00341033935546875
77,0.58,0,45,50,3,2,58.5,0,0,0,0,0,0.009445905685424805,0.002731800079345703,7.05718994140625e-05,0.0001926422119140625,0.0002663135528564453,0.0034482479095458984
78,0.58,0,46,51,1,1,78.0,0,0,0,1,0,0.00956106185913086,0.0027837753295898438,7.176399230957031e-05,0.0001926422119140625,0.0002663135528564453,0.0034842491149902344
79,0.58,0,46,51,3,1,11.0,0,0,0,0,0,0.009727954864501953,0.0028388500213623047,7.295608520507812e-05,0.0001926422119140625,0.00027632713317871094,0.003522157669067383
80,0.58,0,47,52,1,1,80.0,0,0,0,1,0,0.009882926940917969,0.002927064895629883,7.390975952148438e-05,0.0001926422119140625,0.00027632713317871094,0.003561258316040039
81,0.56,0,48,53,3,1,81.0,0,0,0,1,0,0.010018110275268555,0.0029888153076171875,7.486343383789062e-05,0.0001926422119140625,0.00027632713317871094,0.0036013126373291016
82,0.58,0,49,55,4,2,54.666666666666664,0,0,1,0,0,0.010241031646728516,0.003047943115234375,7.557868957519531e-05,0.00023293495178222656,0.00029015541076660156,0.0036411285400390625
83,0.58,0,49,55,3,2,61.0,0,0,0,0,0,0.010365962982177734,0.0031061172485351562,7.653236389160156e-05,0.00023293495178222656,0.00029015541076660156,0.003683328628540039
84,0.58,0,49,55,5,3,56.25,0,0,0,0,0,0.010500907897949219,0.0031692981719970703,7.748603820800781e-05,0.00023293495178222656,0.00029015541076660156,0.003724336624145508
85,0.56,0,50,56,3,1,85.0,0,0,0,1,0,0.010632991790771484,0.0032291412353515625,7.843971252441406e-05,0.00023293495178222656,0.00029015541076660156,0.0037622451782226562
86,0.58,0,50,56,3,2,45.0,0,0,0,0,0,0.010760068893432617,0.003292083740234375,7.939338684082031e-05,0.00023293495178222656,0.00029015541076660156,0.0038022994995117188
87,0.6,0,50,56,3,2,65.33333333333333,0,0,0,0,0,0.010885953903198242,0.0033559799194335938,8.034706115722656e-05,0.00023293495178222656,0.00029015541076660156,0.003840208053588867
88,0.6,0,51,58,3,2,16.25,0,0,1,0,0,0.011116981506347656,0.0034208297729492188,8.153915405273438e-05,0.000270843505859375,0.00030422210693359375,0.0038781166076660156
89,0.6,0,52,59,2,1,89.0,0,0,0,1,0,0.011253118515014648,0.003484964370727539,8.153915405273438e-05,0.000270843505859375,0.00030422210693359375,0.00391697883605957
90,0.62,0,52,59,4,1,85.0,0,0,0,0,0,0.011383056640625,0.003551006317138672,8.273124694824219e-05,0.000270843505859375,0.00030422210693359375,0.003958225250244141
91,0.64,0,54,61,3,3,27.0,0,1,0,0,0,0.011656999588012695,0.003620147705078125,8.368492126464844e-05,0.0003147125244140625,0.0003192424774169922,0.003996372222900391
92,0.64,0,55,63,1,1,63.0,0,0,1,0,0,0.011879920959472656,0.0036869049072265625,8.487701416015625e-05,0.00035452842712402344,0.00032830238342285156,0.004035472869873047
93,0.64,0,55,63,3,1,11.0,0,0,0,0,0,0.012012958526611328,0.003753662109375,8.58306884765625e-05,0.00035452842712402344,0.00032830238342285156,0.004076480865478516
94,0.66,0,56,64,1,1,94.0,0,0,0,1,0,0.012142181396484375,0.003819704055786133,8.678436279296875e-05,0.00035452842712402344,0.00032830238342285156,0.004114389419555664
95,0.66,0,56,64,4,1,1.0,0,0,0,0,0,0.012328863143920898,0.0038857460021972656,8.7738037109375e-05,0.00035452842712402344,0.0003383159637451172,0.004154205322265625
96,0.66,0,56,64,3,2,52.0,0,0,0,0,0,0.012458086013793945,0.003949880599975586,8.869171142578125e-05,0.00035452842712402344,0.0003383159637451172,0.004194498062133789
97,0.66,0,56,64,6,3,32.5,0,0,0,0,0,0.012645959854125977,0.004029989242553711,8.96453857421875e-05,0.00035452842712402344,0.0003383159637451172,0.004235267639160156
98,0.64,0,57,66,2,1,54.0,0,0,1,0,0,0.01288604736328125,0.004108905792236328,9.036064147949219e-05,0.00040078163146972656,0.00034809112548828125,0.0042724609375
99,0.66,0,57,66,5,2,89.5,0,0,0,0,0,0.013028860092163086,0.004179954528808594,9.131431579589844e-05,0.00040078163146972656,0.00034809112548828125,0.0043146610260009766
100,0.68,0,57,66,1,1,59.0,0,0,0,0,0,0.013154029846191406,0.004250764846801758,9.131431579589844e-05,0.00040078163146972656,0.00034809112548828125,0.004350423812866211
101,0.68,0,58,67,4,3,61.666666666666664,0,0,2,0,0,0.013370037078857422,0.004318714141845703,9.226799011230469e-05,0.0004277229309082031,0.0003619194030761719,0.004389286041259766
102,0.66,0,58,67,3,1,11.0,0,0,0,0,0,0.01350092887878418,0.004385709762573242,9.34600830078125e-05,0.0004277229309082031,0.0003619194030761719,0.004431009292602539
103,0.66,0,58,67,3,2,52.5,0,0,0,0,0,0.013632059097290039,0.004454612731933594,9.441375732421875e-05,0.0004277229309082031,0.0003619194030761719,0.004470348358154297
104,0.66,0,60,69,3,1,11.0,0,0,2,0,0,0.013860940933227539,0.004521608352661133,9.441375732421875e-05,0.0004754066467285156,0.0003719329833984375,0.004508495330810547
105,0.66,0,60,69,4,3,37.333333333333336,0,0,0,0,0,0.014069080352783203,0.004595518112182617,9.560585021972656e-05,0.0004754066467285156,0.0003857612609863281,0.00455021858215332
106,0.66,0,62,71,3,2,15.5,0,1,0,0,0,0.014343023300170898,0.004671573638916016,9.679794311523438e-05,0.0005221366882324219,0.0003998279571533203,0.004591464996337891
107,0.64,0,62,71,5,1,11.0,0,0,0,0,0,0.014486074447631836,0.004742622375488281,9.751319885253906e-05,0.0005221366882324219,0.0003998279571533203,0.004634380340576172
108,0.64,0,62,71,6,4,64.6,0,0,0,0,0,0.014638185501098633,0.004817485809326172,9.846687316894531e-05,0.0005221366882324219,0.0003998279571533203,0.004677772521972656
109,0.66,0,64,73,6,3,20.4,0,1,1,0,0,0.014925003051757812,0.004896402359008789,9.942054748535156e-05,0.0005750656127929688,0.00041294097900390625,0.004719734191894531
110,0.64,0,64,73,7,4,37.333333333333336,0,0,0,0,0,0.015086174011230469,0.004973411560058594,0.00010061264038085938,0.0005750656127929688,0.00041294097900390625,0.0047664642333984375
111,0.64,0,64,73,6,2,61.0,0,0,0,0,0,0.015332221984863281,0.0050504207611083984,0.00010180473327636719,0.0005750656127929688,0.00042700767517089844,0.004809141159057617
112,0.64,0,64,73,7,5,45.285714285714285,0,0,0,0,0,0.015503168106079102,0.005136251449584961,0.00010180473327636719,0.0005750656127929688,0.00042700767517089844,0.004854917526245117
113,0.64,0,64,73,6,3,70.0,0,0,0,0,0,0.015652894973754883,0.005212068557739258,0.00010180473327636719,0.0005750656127929688,0.00042700767517089844,0.004895448684692383
114,0.64,0,65,75,5,2,38.666666666666664,0,0,1,0,0,0.015910863876342773,0.005293846130371094,0.00010275840759277344,0.0006201267242431641,0.0004413127899169922,0.004935503005981445
115,0.62,0,65,75,10,4,26.833333333333332,0,0,0,0,0,0.016088008880615234,0.0053789615631103516,0.00010395050048828125,0.0006201267242431641,0.0004413127899169922,0.004984378814697266
116,0.62,0,67,77,7,3,47.333333333333336,0,1,0,0,0,0.016389846801757812,0.005469083786010742,0.00010395050048828125,0.0006742477416992188,0.00045609474182128906,0.005027055740356445
117,0.62,0,69,79,5,4,69.8,0,1,0,0,0,0.016707181930541992,0.0055599212646484375,0.00010514259338378906,0.0007312297821044922,0.00047326087951660156,0.0050716400146484375
118,0.64,0,69,79,4,4,87.75,0,0,0,0,0,0.016962051391601562,0.005724906921386719,0.00010585784912109375,0.0007312297821044922,0.00047326087951660156,0.005117654800415039
119,0.64,0,69,79,3,2,52.5,0,0,0,0,0,0.0171048641204834,0.005805015563964844,0.00010704994201660156,0.0007312297821044922,0.00047326087951660156,0.005156755447387695
120,0.66,0,69,79,2,1,44.0,0,0,0,0,0,0.017241954803466797,0.005884885787963867,0.00010800361633300781,0.0007312297821044922,0.00047326087951660156,0.0051937103271484375
121,0.64,0,69,79,3,1,44.0,0,0,0,0,0,0.01738286018371582,0.005964756011962891,0.00010919570922851562,0.0007312297821044922,0.00047326087951660156,0.0052318572998046875
122,0.64,0,69,79,4,2,97.5,0,0,0,0,0,0.017529010772705078,0.006044626235961914,0.00011038780212402344,0.0007312297821044922,0.00047326087951660156,0.005270957946777344
123,0.66,0,69,79,3,1,109.0,0,0,0,0,0,0.017672061920166016,0.006127595901489258,0.00011134147644042969,0.0007312297821044922,0.00047326087951660156,0.005308866500854492
124,0.64,0,69,79,5,2,58.5,0,0,0,0,0,0.017817974090576172,0.006205558776855469,0.00011134147644042969,0.0007312297821044922,0.00047326087951660156,0.005349874496459961
125,0.64,0,69,79,6,3,23.0,0,0,0,0,0,0.017969846725463867,0.0062847137451171875,0.0001125335693359375,0.0007312297821044922,0.00047326087951660156,0.005391836166381836
126,0.64,0,71,81,3,2,64.0,0,0,2,0,0,0.01824212074279785,0.0063707828521728516,0.00011348724365234375,0.0007860660552978516,0.00048828125,0.005428791046142578
127,0.62,0,71,81,6,3,72.33333333333333,0,0,0,0,0,0.018410921096801758,0.00646209716796875,0.00011348724365234375,0.0007860660552978516,0.00048828125,0.00547480583190918
128,0.62,0,71,81,5,3,80.66666666666667,0,0,0,0,0,0.018576860427856445,0.006556272506713867,0.00011467933654785156,0.0007860660552978516,0.00048828125,0.005517005920410156
129,0.62,0,71,81,5,3,73.0,0,0,0,0,0,0.01878499984741211,0.006639242172241211,0.00011539459228515625,0.0007860660552978516,0.0005033016204833984,0.00555872917175293
130,0.6,0,71,81,4,1,81.0,0,0,0,0,0,0.01900005340576172,0.006728410720825195,0.0001163482666015625,0.0007860660552978516,0.0005133152008056641,0.005600690841674805
131,0.6,0,73,83,4,1,35.0,0,0,2,0,0,0.01927495002746582,0.006819486618041992,0.00011730194091796875,0.0008473396301269531,0.0005221366882324219,0.00564265251159668
132,0.58,0,73,83,6,3,86.66666666666667,0,0,0,0,0,0.019446134567260742,0.006913423538208008,0.00011801719665527344,0.0008473396301269531,0.0005221366882324219,0.0056879520416259766
133,0.58,0,74,84,1,1,133.0,0,0,0,1,0,0.019596099853515625,0.006997346878051758,0.00011897087097167969,0.0008473396301269531,0.0005221366882324219,0.005724906921386719
134,0.58,0,74,84,3,1,133.0,0,0,0,0,0,0.019741058349609375,0.007081508636474609,0.00011992454528808594,0.0008473396301269531,0.0005221366882324219,0.005763053894042969
135,0.6,0,75,85,1,1,135.0,0,0,0,1,0,0.01988983154296875,0.007166624069213867,0.00012087821960449219,0.0008473396301269531,0.0005221366882324219,0.005799055099487305
136,0.6,0,77,87,7,4,54.833333333333336,0,1,1,0,0,0.020205020904541016,0.007251739501953125,0.00012159347534179688,0.0009114742279052734,0.0005390644073486328,0.00584101676940918
137,0.6,0,77,87,6,4,44.666666666666664,0,0,0,0,0,0.020437955856323242,0.007346630096435547,0.00012254714965820312,0.0009114742279052734,0.0005562305450439453,0.0058858394622802734
138,0.6,0,77,87,5,3,72.5,0,0,0,0,0,0.020612001419067383,0.007445812225341797,0.00012373924255371094,0.0009114742279052734,0.0005562305450439453,0.005928754806518555
139,0.62,0,77,87,3,1,31.0,0,0,0,0,0,0.020772933959960938,0.007542848587036133,0.0001246929168701172,0.0009114742279052734,0.0005562305450439453,0.005967378616333008
140,0.62,0,78,89,2,1,109.0,0,0,1,0,0,0.021028995513916016,0.007631778717041016,0.00012564659118652344,0.0009665489196777344,0.0005662441253662109,0.00600433349609375
141,0.62,0,78,89,7,6,95.71428571428571,0,0,0,0,0,0.021211862564086914,0.007730007171630859,0.00012564659118652344,0.0009665489196777344,0.0005662441253662109,0.00605010986328125
142,0.6,0,78,89,4,1,81.0,0,0,0,0,0,0.02137303352355957,0.007826089859008789,0.0001266002655029297,0.0009665489196777344,0.0005662441253662109,0.006089925765991211
143,0.62,0,78,89,7,4,89.6,0,0,0,0,0,0.021548986434936523,0.007924079895019531,0.00012755393981933594,0.0009665489196777344,0.0005662441253662109,0.006133079528808594
144,0.62,0,78,89,7,3,30.4,0,0,0,0,0,0.02172112464904785,0.008020162582397461,0.0001285076141357422,0.0009665489196777344,0.0005662441253662109,0.00617527961730957
145,0.62,0,78,89,5,1,44.0,0,0,0,0,0,0.02192997932434082,0.008107185363769531,0.00012946128845214844,0.0009665489196777344,0.0005762577056884766,0.0062139034271240234
146,0.6,0,79,91,5,2,98.66666666666667,0,0,1,0,0,0.022196054458618164,0.008195161819458008,0.0001304149627685547,0.0010225772857666016,0.0005900859832763672,0.006256103515625
147,0.6,0,79,91,4,2,119.33333333333333,0,0,0,0,0,0.022359132766723633,0.008288383483886719,0.00013136863708496094,0.0010225772857666016,0.0005900859832763672,0.006299257278442383
148,0.6,0,79,91,7,4,88.75,0,0,0,0,0,0.022534847259521484,0.008384466171264648,0.0001323223114013672,0.0010225772857666016,0.0005900859832763672,0.006343364715576172
149,0.6,0,80,93,5,4,37.57142857142857,0,0,1,0,0,0.022790908813476562,0.008471488952636719,0.00013327598571777344,0.0010647773742675781,0.0006072521209716797,0.006384611129760742
150,0.6,0,80,93,6,1,27.0,0,0,0,0,0,0.023047924041748047,0.008577585220336914,0.0001342296600341797,0.0010647773742675781,0.0006301403045654297,0.0064296722412109375
