Specified Values,Specified Attribute Names,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_2, R_0, R_4, R_5",1.0,0.21830874510774548,0.7375886524822695,1,65.15760404678579,4974,545,0.45454545454545453,0.0006022184476655884,104,141
"0.0, 0.0, 0.0","R_0, R_6, R_7",0.0,0.1566496719489207,0.6902173913043478,1,74.42679443653746,4982,559,0.2727272727272727,0.0006878888391616428,381,552
"1.0, 1.0, 1.0","A_0, R_4, R_5",1.0,0.2344525008601255,0.7481884057971014,1,62.82941367522919,4977,630,0.2727272727272727,0.0005807001734450993,413,552
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, R_0, R_1, R_2, R_5, R_6",0.0,0.0858114558416252,0.6119402985074627,1,63.76684751065683,4441,645,0.5454545454545454,0.0005893643954867059,41,67
"0.0, 0.0, 0.0, 1.0, 1.0","A_0, A_1, R_1, R_4, R_7",0.0,0.2343894319142217,0.7481481481481481,1,75.4734854941554,4994,656,0.45454545454545453,0.0006975628698925997,101,135
"1.0, 1.0, 1.0","A_0, A_2, R_5",1.0,0.23292649257230397,0.7472118959107806,3,55.27960205481216,4987,661,0.2727272727272727,0.0015327633646465852,402,538
"0.0, 0.0, 1.0, 1.0, 0.0","A_1, A_2, R_0, R_1, R_5",1.0,0.24622492641704344,0.7555555555555555,1,71.34748295348005,4996,669,0.45454545454545453,0.0006594283362267267,102,135
"0.0, 1.0, 0.0, 1.0","A_2, R_4, R_5, R_7",1.0,0.10408448446529729,0.6360294117647058,1,67.39730455180786,4974,689,0.36363636363636365,0.0006229188552558021,173,272
"1.0, 0.0, 0.0, 0.0, 0.0","A_0, R_1, R_4, R_5, R_7",0.0,0.5185701272041218,0.8769230769230769,1,85.52960290182023,4862,703,0.45454545454545453,0.0007905064258041765,114,130
"0.0, 1.0, 0.0, 0.0, 1.0","A_2, R_3, R_4, R_5, R_7",0.0,0.09193731005101786,0.6204379562043796,1,79.38493273565658,4950,707,0.45454545454545453,0.0007337143785363386,85,137
"1.0, 1.0","R_3, R_5",1.0,0.09404412980334743,0.6232558139534884,1,69.77430959789174,4999,716,0.18181818181818182,0.0006448882985753884,670,1075
"0.0, 1.0, 1.0, 0.0","A_1, A_2, R_2, R_5",0.0,0.2402933738360162,0.7518796992481203,3,78.2387991749152,4970,723,0.36363636363636365,0.0021693637546512,200,266
"0.0, 0.0","R_3, R_7",0.0,0.09635652533029496,0.6262910798122066,1,72.79203202385301,4986,731,0.18181818181818182,0.000672779565319069,667,1065
"1.0, 1.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, R_0, R_3, R_5, R_6",0.0,0.2495343537242618,0.7575757575757576,1,67.56482980699911,4982,750,0.5454545454545454,0.000624467205607261,50,66
"1.0, 0.0, 0.0, 0.0","A_0, A_2, R_4, R_6",0.0,1.0,1.0,16,78.2526708287819,4986,788,0.36363636363636365,0.011571991362569442,263,263
"1.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_4, R_6, R_7",0.0,0.2373046875,0.75,2,66.61380589517218,4902,806,0.5454545454545454,0.0012313547548642965,51,68
"1.0, 0.0, 1.0, 0.0, 1.0","A_1, A_2, R_4, R_6, R_7",0.0,0.2403865252435786,0.751937984496124,2,67.77576414414882,4991,856,0.45454545454545453,0.0012528335278544295,97,129
"0.0, 1.0, 0.0, 0.0, 1.0","A_1, A_2, R_4, R_5, R_7",0.0,0.2403865252435786,0.751937984496124,1,73.56561084951962,4955,876,0.45454545454545453,0.0006799293592127395,97,129
