A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
0.0,1.0,#,1.0,#,#,1.0,#,#,0.0,#,1.0,0.22301350200402018,0.7407407407407407,1,55.73985207844856,4988,744,0.45454545454545453,0.0008077262805902138,100,135
1.0,1.0,#,#,#,#,1.0,0.0,#,#,0.0,0.0,0.2402933738360162,0.7518796992481203,1,54.41294817788338,4983,761,0.45454545454545453,0.000800198747491489,100,133
1.0,#,1.0,#,#,1.0,#,#,#,#,1.0,1.0,0.23880092920963172,0.7509433962264151,1,56.24116042378149,4984,793,0.36363636363636365,0.0008270845016787779,199,265
#,0.0,#,#,0.0,#,#,#,0.0,#,0.0,0.0,0.22976703746105318,0.7451737451737451,1,42.15384243851552,4974,817,0.36363636363636365,0.0006199159033063408,193,259
0.0,#,1.0,0.0,#,#,1.0,#,#,#,#,1.0,0.23279332323579968,0.7471264367816092,1,51.9676655819993,4944,821,0.36363636363636365,0.0007642383348321267,195,261
1.0,1.0,1.0,1.0,#,1.0,#,#,#,#,0.0,0.0,1.0,1.0,1,54.5595446971157,4983,887,0.5454545454545454,0.0008023546011073015,64,64
1.0,1.0,1.0,#,#,#,#,#,#,0.0,1.0,1.0,1.0,1.0,4,52.66272141012642,4984,888,0.45454545454545453,0.003097839402056499,128,128
0.0,1.0,0.0,#,0.0,1.0,#,#,#,#,#,1.0,1.0,1.0,2,63.013638146825485,4986,899,0.45454545454545453,0.0018533615989756904,128,128
0.0,1.0,#,#,#,0.0,0.0,#,#,#,#,0.0,1.0,1.0,8,51.94372910342901,4991,903,0.36363636363636365,0.006021199336431392,256,256
0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,10,60.359540095965905,4986,917,0.36363636363636365,0.008926479005632279,253,253
#,#,#,#,0.0,0.0,#,#,0.0,#,#,0.0,0.15455652268241768,0.6883629191321499,1,37.4609912566079,4994,961,0.2727272727272727,0.0005509026672352108,349,507
1.0,0.0,0.0,#,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,5,46.534656788414935,4982,1008,0.45454545454545453,0.0034217015732453215,125,125
1.0,#,0.0,1.0,0.0,#,0.0,1.0,#,#,#,1.0,0.2503403425672665,0.7580645161290323,1,53.743451587309465,4981,1012,0.5454545454545454,0.0007903531068642674,47,62
0.0,0.0,1.0,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,13,59.100820266810324,4968,1020,0.36363636363636365,0.011298803890978423,248,248
1.0,#,1.0,#,#,#,#,0.0,#,0.0,1.0,1.0,0.24710935412080362,0.7560975609756098,1,43.096236931117836,4984,1022,0.45454545454545453,0.0006337747901683059,93,123
1.0,0.0,0.0,1.0,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,1,46.39301559657292,4982,1052,0.5454545454545454,0.0006822573342537611,59,59
#,1.0,0.0,#,0.0,1.0,#,#,#,#,#,1.0,0.23250110796702045,0.746938775510204,1,59.899036586767366,4986,1058,0.36363636363636365,0.0008808773583814035,183,245
0.0,#,1.0,#,1.0,#,1.0,#,#,#,#,1.0,1.0,1.0,10,60.32144442855149,4988,1070,0.36363636363636365,0.008870893030975994,244,244
#,1.0,1.0,#,0.0,#,1.0,#,#,1.0,#,1.0,0.23410655790434154,0.7479674796747967,1,50.96988359512598,4965,1074,0.45454545454545453,0.0007495649175132297,92,123
1.0,1.0,1.0,0.0,#,#,#,0.0,1.0,#,0.0,0.0,1.0,1.0,1,59.82568705063377,4924,1095,0.6363636363636364,0.0008797986774992116,30,30
1.0,1.0,1.0,#,0.0,#,#,#,#,0.0,1.0,1.0,1.0,1.0,3,52.930715705624,4984,1121,0.5454545454545454,0.0023352029524114633,59,59
0.0,0.0,1.0,#,1.0,#,#,#,#,1.0,#,1.0,1.0,1.0,3,63.10875971853933,4919,1168,0.45454545454545453,0.0027842389820944766,120,120
