Label,A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7
Specificity Sum,663,624,700,251,235,294,261,309,297,255,260
Accuracy Sum,575.1313159707595,541.9793138568352,604.1188129465457,206.7573725427697,191.08080391671004,238.6301661436595,210.8429694760327,252.6562762584559,242.4215043758794,204.59009085535783,214.1144559000315
