Label,A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7
Specificity Sum,22,33,35,27,25,24,26,30,25,24,25
Accuracy Sum,18.919444444444444,26.841666666666665,29.67727272727273,22.285606060606064,18.525225943646994,18.338383838383837,20.15,25.541666666666668,19.94166666666667,19.575,21.01184210526316
