Label,A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7
Specificity Sum,684,672,600,297,264,271,265,284,269,253,292
Accuracy Sum,591.6422197354834,590.7231488689886,523.1581114776973,242.41908215460856,219.676720648155,221.70207640285142,215.98071098408806,234.70955297905118,224.86875762569915,207.40404880364989,238.4149016379963
