A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,0.0,0.0,0.0,#,#,#,0.0,#,#,#,0.0,1.0,1.0,13,71.36327551952918,4970,703,0.36363636363636365,0.009778770960271145,272,272
#,#,1.0,#,#,#,#,#,0.0,#,0.0,0.0,0.2417484719931326,0.7527881040892194,1,69.21638923448188,4995,706,0.2727272727272727,0.0006939744628417413,405,538
0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,11,67.97166306334681,4961,713,0.36363636363636365,0.007881097989352163,267,267
#,#,0.0,#,#,#,#,#,#,0.0,#,0.0,0.09482984884170667,0.6242937853107344,1,69.11131327680145,4994,734,0.18181818181818182,0.0007284760731163066,663,1062
#,#,1.0,0.0,#,0.0,#,#,#,#,0.0,0.0,0.09465253657836611,0.6240601503759399,1,66.4432578252096,4995,740,0.36363636363636365,0.0007003531151506879,166,266
#,#,1.0,#,#,#,0.0,#,0.0,#,#,0.0,0.24101018553868397,0.7523277467411545,2,66.87954036243967,4973,757,0.2727272727272727,0.0013354844091409389,404,537
0.0,1.0,#,#,1.0,1.0,#,#,#,#,#,1.0,0.23877862512345643,0.7509293680297398,2,76.44753058687606,4987,758,0.36363636363636365,0.0016116087002519656,202,269
#,0.0,#,#,1.0,#,#,#,#,1.0,#,1.0,0.09774327642859779,0.6280834914611005,1,66.0189479510701,4979,787,0.2727272727272727,0.0006958806261146364,331,527
#,#,#,#,1.0,#,0.0,1.0,#,1.0,#,1.0,0.0990634079721992,0.6297709923664122,1,65.1384515650941,4979,788,0.36363636363636365,0.000686599648525918,165,262
#,0.0,#,#,0.0,#,#,#,0.0,#,#,0.0,0.24491975315010234,0.7547528517110266,4,81.83417166594903,4966,795,0.2727272727272727,0.003450331541707047,397,526
#,1.0,#,#,#,#,#,#,1.0,#,0.0,0.0,0.09251232717274617,0.6212121212121212,1,69.86849202530017,4971,800,0.2727272727272727,0.0007364572063809035,328,528
1.0,#,#,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2373046875,0.75,1,73.0464,4993,897,0.8181818181818182,0.0007699543259170681,6,8
#,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,0.2373046875,0.75,2,75.67849847891867,4987,935,0.2727272727272727,0.001595396550213335,378,504
0.0,#,1.0,#,0.0,#,#,1.0,#,#,0.0,0.0,0.2436493745361309,0.753968253968254,2,77.83251990312021,4966,958,0.45454545454545453,0.001640805991710302,95,126
1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,14,78.92779438772624,4983,969,0.36363636363636365,0.011647270147945933,254,254
1.0,#,1.0,#,#,#,#,#,#,#,1.0,1.0,0.23888460659980676,0.750996015936255,2,74.49289839706623,4983,972,0.2727272727272727,0.0015704026309557148,377,502
#,1.0,1.0,#,#,#,0.0,#,#,#,#,0.0,0.22874706461219732,0.7445109780439122,3,65.70270576083738,4998,975,0.2727272727272727,0.001995275369884299,373,501
1.0,0.0,0.0,#,#,#,#,0.0,#,#,#,0.0,1.0,1.0,13,69.44291374358424,4970,994,0.36363636363636365,0.009515627518057844,251,251
1.0,#,1.0,#,#,#,#,#,0.0,#,0.0,0.0,1.0,1.0,7,66.89505363398499,4995,1037,0.36363636363636365,0.004675626227586021,249,249
#,1.0,#,1.0,#,#,0.0,#,#,#,#,0.0,0.09233050268659077,0.6209677419354839,1,64.95110154201063,4971,1040,0.2727272727272727,0.0006846248631739529,308,496
#,#,#,1.0,0.0,0.0,#,0.0,#,#,#,0.0,0.0891768994341564,0.6166666666666667,1,64.24843294434021,4948,1082,0.36363636363636365,0.0006772183006813123,148,240
1.0,#,0.0,#,#,#,#,0.0,#,0.0,#,0.0,1.0,1.0,11,85.40599123175923,4988,1093,0.36363636363636365,0.00990255284982436,245,245
#,1.0,0.0,#,0.0,0.0,#,#,#,#,0.0,0.0,0.2541044584567543,0.7603305785123967,2,72.93851136784203,4910,1098,0.45454545454545453,0.0015376342257420272,92,121
0.0,0.0,1.0,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,11,65.85329016814107,4966,1117,0.36363636363636365,0.00763547939459239,246,246
0.0,#,#,0.0,0.0,1.0,0.0,#,#,1.0,#,0.0,0.20562798495676804,0.7288135593220338,1,61.33577093862811,4998,1118,0.5454545454545454,0.0006579424662303776,43,59
1.0,#,0.0,1.0,#,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,72.08,4166,1130,0.8181818181818182,0.0007597678709984648,6,6
#,1.0,#,#,1.0,#,#,#,#,1.0,1.0,1.0,0.23399965993447927,0.7478991596638656,1,72.38631438742195,4983,1144,0.36363636363636365,0.0007629966144777625,178,238
1.0,#,0.0,#,#,#,#,#,#,0.0,1.0,0.0,0.24891882774471355,0.757201646090535,2,78.58218894661275,4937,1146,0.36363636363636365,0.0016566099443498074,184,243
