Specified Values,Specified Attribute Names,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"1.0, 1.0, 0.0, 1.0","R_1, R_2, R_4, R_7",1.0,0.09140535481733217,0.6197183098591549,1,72.7676947758496,4988,445,0.36363636363636365,0.0009262689008318455,176,284
"1.0, 1.0","A_1, R_7",1.0,0.09180873174902103,0.6202643171806167,1,57.90355119735896,4988,445,0.18181818181818182,0.0007370613963662141,704,1135
"1.0, 0.0, 0.0, 0.0","A_1, A_2, R_2, R_6",0.0,1.0,1.0,12,74.80413269176674,4951,458,0.36363636363636365,0.011426291622322176,291,291
"0.0, 0.0","R_0, R_6",0.0,0.0987975660045538,0.6294326241134752,1,66.24970522245225,4980,477,0.18181818181818182,0.0008433006133540547,710,1128
"0.0, 1.0, 1.0, 0.0","A_1, R_0, R_4, R_5",1.0,0.09502364168995711,0.6245487364620939,1,65.86683937676378,4970,479,0.36363636363636365,0.0008384270671032861,173,277
"0.0, 0.0, 0.0, 1.0","A_1, R_0, R_6, R_7",0.0,0.095367431640625,0.625,1,66.47530489046783,4904,487,0.36363636363636365,0.0008461722991641453,175,280
"0.0, 1.0","A_2, R_4",1.0,0.09094300268452825,0.6190900981266726,1,65.57191186605955,4999,497,0.18181818181818182,0.0008346728986909629,694,1121
"1.0, 0.0, 1.0, 1.0","A_1, R_0, R_2, R_4",1.0,0.08765365980551251,0.6145454545454545,1,62.726733438538815,4981,505,0.36363636363636365,0.0007984562739531849,169,275
"1.0, 0.0","A_2, R_5",0.0,0.10124823800288933,0.6325247079964061,1,54.626505048954925,4991,552,0.18181818181818182,0.0006953474745055913,704,1113
"0.0, 0.0, 1.0","A_0, A_1, R_0",1.0,0.2431349913480351,0.7536496350364964,3,58.37666829651929,4965,555,0.2727272727272727,0.002229251285634567,413,548
"0.0, 0.0, 1.0, 1.0","A_0, A_1, R_1, R_3",1.0,0.2491676072360618,0.7573529411764706,1,73.42507900230802,4965,583,0.36363636363636365,0.000934636825179889,206,272
"1.0, 0.0, 0.0","A_1, A_2, R_2",0.0,0.23308229207214232,0.7473118279569892,3,63.981100807962534,4993,589,0.2727272727272727,0.002443269809575097,417,558
"1.0, 0.0, 0.0, 0.0","A_2, R_1, R_5, R_7",0.0,0.5115971486752461,0.8745519713261649,1,65.87658467586346,4953,597,0.36363636363636365,0.0008385511162093234,244,279
"1.0, 0.0, 1.0, 1.0","A_1, A_2, R_4, R_6",1.0,0.23584883491857075,0.7490774907749077,1,68.64075884901233,4964,598,0.36363636363636365,0.0008737366278701947,203,271
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_1, R_2, R_5",0.0,0.24309233458977172,0.7536231884057971,1,68.77144036379275,4938,604,0.5454545454545454,0.0008754000888802977,52,69
"1.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_2",1.0,0.22606008936737765,0.7427536231884058,1,62.102387205220325,4940,615,0.36363636363636365,0.000790508894266968,205,276
"0.0, 1.0, 1.0","A_1, R_0, R_1",1.0,0.23658251917554743,0.7495429616087751,1,62.41495286715302,4965,628,0.2727272727272727,0.0007944875808669489,410,547
"1.0, 1.0, 1.0, 1.0, 0.0","R_0, R_2, R_3, R_4, R_5",1.0,0.1583729228427086,0.6917293233082706,1,76.80233717812904,4850,629,0.45454545454545453,0.0009776263582134586,92,133
"1.0, 1.0, 1.0","R_0, R_4, R_6",1.0,0.1516642502573662,0.6857670979667283,1,67.42808502492912,4970,636,0.2727272727272727,0.0008583003542111053,371,541
"1.0, 1.0, 1.0, 0.0, 0.0","A_1, A_2, R_1, R_3, R_6",0.0,0.25853377109211173,0.762962962962963,1,60.90892230374219,4983,646,0.45454545454545453,0.0007753171333368083,103,135
"0.0, 1.0, 1.0, 0.0","A_0, A_1, R_2, R_6",1.0,0.2343894319142217,0.7481481481481481,2,70.87514568673876,4981,686,0.36363636363636365,0.0018043568232792332,202,270
"0.0, 0.0","R_0, R_5",0.0,0.09195743489033589,0.6204651162790698,1,64.33665138258598,4993,698,0.18181818181818182,0.0008189491166776317,667,1075
"0.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_2, R_5",0.0,0.22301350200402018,0.7407407407407407,1,72.49266003334643,4938,716,0.45454545454545453,0.000922767949902814,100,135
"1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_6",0.0,1.0,1.0,12,66.44590850746235,4994,727,0.36363636363636365,0.010149577308045802,267,267
"1.0, 1.0, 0.0","A_1, R_2, R_4",1.0,0.09608663978059173,0.6259398496240601,1,67.19912510415455,4988,743,0.2727272727272727,0.000855385895332015,333,532
"0.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, R_2, R_6, R_7",1.0,0.23128204024853688,0.7461538461538462,1,69.8978369722245,4842,743,0.45454545454545453,0.0008897381292924156,97,130
"1.0, 0.0, 1.0","A_0, A_1, R_4",1.0,0.24188572379757858,0.7528735632183908,3,66.00607340919684,4999,841,0.2727272727272727,0.0025205981824748145,393,522
"1.0, 0.0, 1.0, 0.0","A_0, A_1, R_4, R_7",1.0,0.23578155590252478,0.749034749034749,1,65.48033178560874,4912,847,0.36363636363636365,0.0008335071646283605,194,259
"1.0, 0.0, 0.0, 0.0","A_0, R_1, R_2, R_6",0.0,0.09463043802210779,0.624031007751938,1,73.82940494476307,4955,859,0.36363636363636365,0.0009397835396312575,161,258
"1.0, 0.0, 1.0, 1.0","A_0, A_1, R_2, R_4",1.0,0.2403865252435786,0.751937984496124,1,69.6679162880587,4995,863,0.36363636363636365,0.0008868114407384251,194,258
"0.0, 1.0, 1.0, 0.0, 0.0","A_1, R_2, R_3, R_4, R_5",0.0,0.2373046875,0.75,1,67.53281731072947,4974,878,0.45454545454545453,0.000859633504306745,96,128
"1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_4",1.0,1.0,1.0,9,66.5102106457108,4999,882,0.36363636363636365,0.00761954956918724,259,259
"1.0, 0.0, 0.0, 0.0, 1.0","A_0, A_1, R_1, R_3, R_4",1.0,0.2403865252435786,0.751937984496124,1,66.98411770446225,4999,893,0.45454545454545453,0.0008526490398029624,97,129
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, R_1, R_2, R_3, R_4, R_6",1.0,0.5071199549732823,0.873015873015873,2,81.31023226395047,4968,934,0.5454545454545454,0.0020700158139545,55,63
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_1, R_0, R_1, R_2, R_5, R_7",0.0,0.09091180653955425,0.6190476190476191,1,68.1188971671985,4938,935,0.5454545454545454,0.0008670937865944204,39,63
"0.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_1",1.0,1.0,1.0,8,66.75935030165536,4965,938,0.36363636363636365,0.006798303583989323,255,255
"1.0, 1.0","R_1, R_4",1.0,0.09518021648120205,0.6247544204322201,1,64.22316571371985,4995,940,0.18181818181818182,0.0008175045436966599,636,1018
"1.0, 1.0, 0.0","A_0, A_2, R_5",0.0,0.23888460659980676,0.750996015936255,1,56.65393529026092,4991,956,0.2727272727272727,0.00072115488240703,377,502
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_3, R_6, R_7",1.0,0.22481780895283973,0.7419354838709677,1,65.02387099765473,4948,967,0.5454545454545454,0.000827696819342126,46,62
"1.0, 1.0, 1.0, 1.0","A_1, R_3, R_6, R_7",1.0,0.5011991798150075,0.8709677419354839,1,78.45625804429366,4898,977,0.36363636363636365,0.0009986793195238888,216,248
"0.0, 0.0, 0.0","A_2, R_0, R_4",0.0,0.2309937545436796,0.7459677419354839,2,71.93751323865834,4993,1018,0.2727272727272727,0.0018314028366956856,370,496
"0.0, 1.0","A_1, R_5",1.0,0.09681090838439671,0.6268806419257773,1,66.5451435341776,4999,1031,0.18181818181818182,0.0008470612838151489,625,997
"1.0, 0.0, 1.0, 1.0","A_1, R_2, R_6, R_7",1.0,0.09737933188310828,0.6276150627615062,1,64.55425330600022,4973,1054,0.36363636363636365,0.0008217189982169696,150,239
"1.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, R_2, R_4, R_6",1.0,0.2373046875,0.75,2,67.99326290082874,4964,1057,0.45454545454545453,0.0017309891452552478,93,124
"1.0, 1.0, 1.0","A_1, A_2, R_7",1.0,0.23565445268619553,0.7489539748953975,2,57.591265505640436,4984,1088,0.2727272727272727,0.0014661725470827712,358,478
"0.0, 0.0, 0.0, 1.0","A_0, A_2, R_0, R_6",0.0,0.2260372120332771,0.7427385892116183,1,65.39991954046589,4993,1089,0.36363636363636365,0.0008324835873094509,179,241
"0.0, 1.0, 0.0","A_1, A_2, R_5",0.0,0.2389234037835294,0.7510204081632653,2,62.404627648596104,4991,1099,0.2727272727272727,0.0015887122997902008,368,490
"0.0, 0.0, 1.0","A_1, A_2, R_4",1.0,0.2389234037835294,0.7510204081632653,4,65.26593206107567,4999,1100,0.2727272727272727,0.003323112177083399,368,490
"1.0, 1.0, 0.0, 0.0","A_1, A_2, R_3, R_7",0.0,1.0,1.0,10,66.59489745057638,4949,1102,0.36363636363636365,0.008476946075118352,246,246
"1.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_0, A_2, R_0, R_1, R_3, R_6",0.0,0.21848085858476907,0.7377049180327869,1,74.65538837001935,4894,1105,0.5454545454545454,0.0009502975838341718,45,61
"1.0, 1.0, 1.0","A_1, R_2, R_3",1.0,0.24809706595445083,0.756701030927835,4,67.275485644035,4981,1107,0.2727272727272727,0.003425431591993225,367,485
"1.0, 0.0, 0.0","A_0, A_1, R_4",0.0,0.23242204209413211,0.7468879668049793,2,65.3022066720462,4991,1120,0.2727272727272727,0.0016624795764750542,360,482
"1.0, 0.0, 0.0, 0.0","A_1, R_2, R_3, R_7",0.0,0.5174479243633625,0.8765432098765432,4,68.01900408135864,4972,1128,0.36363636363636365,0.003463288941071517,213,243
"0.0, 0.0, 0.0","R_0, R_2, R_3",0.0,0.1557706075482643,0.6894409937888198,1,66.2565742117587,4997,1131,0.2727272727272727,0.0008433880495603865,333,483
"0.0, 0.0, 1.0, 1.0, 0.0","A_2, R_1, R_2, R_4, R_5",1.0,0.21848085858476907,0.7377049180327869,3,60.923746945795855,4981,1135,0.45454545454545453,0.0023265175140645762,90,122
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, R_2, R_4, R_5, R_6, R_7",0.0,0.1991161489782947,0.7241379310344828,1,71.01764815186694,4974,1141,0.6363636363636364,0.0009039923429747605,21,29
"1.0, 1.0, 1.0, 1.0","A_2, R_1, R_3, R_5",1.0,0.5160479037439952,0.8760683760683761,1,76.7836757643748,4965,1162,0.36363636363636365,0.000977388814791761,205,234
"1.0, 0.0, 0.0, 0.0","A_0, A_1, R_4, R_6",0.0,0.22419722281449334,0.7415254237288136,1,79.2375278148567,4955,1186,0.36363636363636365,0.001008624198138798,175,236
"1.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, R_2, R_6, R_7",0.0,0.2373046875,0.75,1,59.11114893610145,4866,1227,0.45454545454545453,0.0007524330559131819,90,120
"0.0, 1.0, 1.0, 0.0, 0.0","A_1, A_2, R_3, R_4, R_5",0.0,0.208862973278188,0.7310924369747899,1,66.18000726245553,4953,1236,0.45454545454545453,0.0008424134194832684,87,119
"1.0, 0.0, 1.0, 1.0, 1.0","A_1, R_0, R_3, R_4, R_6",1.0,0.24059140593162093,0.7520661157024794,1,66.31660279296511,4964,1262,0.45454545454545453,0.0008441521607240538,91,121
"1.0, 1.0, 1.0, 1.0, 1.0","R_1, R_3, R_4, R_5, R_6",1.0,0.3540925979614258,0.8125,1,74.95274735599449,4964,1273,0.45454545454545453,0.0009540827027930738,91,112
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_1, A_2, R_0, R_1, R_2, R_4, R_7",1.0,0.1991161489782947,0.7241379310344828,1,59.193760825748576,4850,1283,0.6363636363636364,0.0007534846327764424,21,29
"0.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_0",1.0,1.0,1.0,8,55.125377611406265,4948,1290,0.36363636363636365,0.005613581475718698,229,229
"1.0, 0.0, 0.0","A_1, R_3, R_7",0.0,0.2586702149201321,0.7630434782608696,3,64.1898154210601,4994,1336,0.2727272727272727,0.0024512400712079665,351,460
"0.0, 0.0, 0.0, 0.0","A_2, R_0, R_5, R_6",0.0,0.2222903719323048,0.7402597402597403,1,73.50589504894556,4980,1347,0.36363636363636365,0.00093566554253749,171,231
"1.0, 0.0, 0.0, 0.0, 0.0","A_1, R_2, R_3, R_6, R_7",0.0,1.0,1.0,3,86.07150591977222,4914,1354,0.45454545454545453,0.003286844227792219,115,115
"1.0, 0.0, 0.0, 0.0","A_0, A_2, R_4, R_6",0.0,1.0,1.0,15,79.65255640679823,4980,1371,0.36363636363636365,0.015208607218898286,223,223
"1.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, R_2, R_4, R_6",0.0,0.187646523947929,0.7155963302752294,1,81.83194754983028,4955,1387,0.45454545454545453,0.0010416488847612463,78,109
"0.0, 1.0, 1.0, 1.0","A_2, R_1, R_4, R_6",1.0,0.2373046875,0.75,2,73.6735321707229,4964,1448,0.36363636363636365,0.0018755988319922243,165,220
"0.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, R_0, R_1, R_6",1.0,0.22351174466052603,0.7410714285714286,1,61.35196763214655,4841,1467,0.45454545454545453,0.0007809567115950436,83,112
"1.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_7",1.0,1.0,1.0,9,66.66410882076528,4929,1474,0.36363636363636365,0.0076371804676921545,221,221
"1.0, 1.0, 0.0, 1.0, 1.0","A_1, R_3, R_4, R_6, R_7",1.0,0.47347381451739246,0.8611111111111112,1,78.2880494648257,4882,1521,0.45454545454545453,0.0009965381719103193,93,108
"0.0, 1.0, 1.0","A_2, R_1, R_2",1.0,0.08708363835968869,0.6137440758293838,1,70.49244030345722,4995,1526,0.2727272727272727,0.0008973069079344824,259,422
"0.0, 0.0, 1.0, 1.0","A_0, A_1, A_2, R_1",1.0,1.0,1.0,10,65.85365543976339,4965,1538,0.36363636363636365,0.00838259247154178,216,216
"1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_7",0.0,1.0,1.0,12,58.263897253282344,4962,1606,0.36363636363636365,0.00889977942545271,215,215
"0.0, 0.0, 1.0, 1.0","A_1, A_2, R_1, R_4",1.0,0.24102412417573232,0.7523364485981309,1,72.39960598163668,4995,1629,0.36363636363636365,0.0009215834534794954,161,214
"0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0",0.0,1.0,1.0,14,63.73659960651203,4974,1660,0.36363636363636365,0.011358353777592462,210,210
"1.0, 0.0, 1.0, 1.0","A_1, R_1, R_3, R_6",1.0,0.20891960026334427,0.7311320754716981,1,58.33753656087908,4947,1668,0.36363636363636365,0.0007425856492215938,155,212
"0.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_4",1.0,1.0,1.0,8,73.0383225391083,4970,1757,0.36363636363636365,0.0074377100382577565,200,200
"0.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, R_0, R_4, R_5",0.0,0.2373046875,0.75,1,78.22006843867972,4953,1778,0.45454545454545453,0.000995672833100843,75,100
"1.0, 0.0, 1.0, 1.0, 0.0","A_1, A_2, R_1, R_2, R_5",1.0,0.22532211069926403,0.7422680412371134,1,78.62315256661769,4940,1792,0.45454545454545453,0.0010008037403431015,72,97
"0.0, 0.0, 0.0","A_1, A_2, R_0",0.0,0.2276279966556616,0.7437810945273632,1,66.31852052621852,4974,1803,0.2727272727272727,0.0008441765717855584,299,402
"0.0, 0.0, 0.0, 1.0, 0.0","A_1, A_2, R_0, R_1, R_6",0.0,0.2373046875,0.75,1,68.86135647152234,4838,1855,0.45454545454545453,0.0008765446420302954,72,96
"0.0, 1.0, 0.0","A_0, A_1, R_2",0.0,0.2577503359985351,0.7625,3,64.47027200220471,4993,1856,0.2727272727272727,0.002461949969739784,305,400
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0","A_1, A_2, R_1, R_2, R_3, R_6",1.0,0.2550063900805163,0.7608695652173914,1,81.05983436374832,4910,1868,0.5454545454545454,0.001031820561431877,35,46
"0.0, 1.0, 0.0, 0.0","A_1, A_2, R_5, R_7",0.0,0.23528336463613272,0.7487179487179487,2,68.21008594743613,4953,1902,0.36363636363636365,0.0017365090794973501,146,195
"0.0, 0.0, 1.0, 0.0, 0.0","A_1, R_0, R_1, R_4, R_5",0.0,0.21720617794361205,0.7368421052631579,1,69.83857628900668,4838,1924,0.45454545454545453,0.0008889837927963126,70,95
"0.0, 1.0, 0.0, 0.0","A_1, A_2, R_1, R_3",0.0,0.25282414814305804,0.7595628415300546,1,67.9810448679845,4997,1948,0.36363636363636365,0.0008653390477908426,139,183
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, R_1, R_3, R_4, R_6",1.0,0.2550063900805163,0.7608695652173914,2,62.23728876997874,4865,1953,0.5454545454545454,0.0015844521456203926,35,46
"1.0, 0.0, 1.0, 1.0, 1.0","A_0, R_1, R_4, R_6, R_7",1.0,0.48700986555073694,0.865979381443299,1,71.5421948997068,4970,1974,0.45454545454545453,0.0009106693627849002,84,97
"1.0, 0.0, 0.0, 0.0","A_1, A_2, R_2, R_4",0.0,0.23528336463613272,0.7487179487179487,1,62.99319456416661,4993,1978,0.36363636363636365,0.000801848090262743,146,195
"0.0, 0.0, 0.0, 0.0","A_1, A_2, R_0, R_4",0.0,1.0,1.0,12,77.38866292251629,4974,1988,0.36363636363636365,0.011821077245262797,186,186
"1.0, 0.0, 1.0","A_0, A_2, R_4",1.0,0.2342067575938101,0.7480314960629921,4,62.60304520439918,4999,1989,0.2727272727272727,0.0031875273250761365,285,381
"0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, R_0, R_5, R_6",0.0,0.22059995870325735,0.7391304347826086,1,73.60996003833615,4838,2005,0.45454545454545453,0.0009369901985353861,68,92
"1.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_3, R_4",1.0,0.26661954836084967,0.7676767676767676,1,61.491888270521784,4929,2018,0.45454545454545453,0.000782737778541176,76,99
"1.0, 1.0, 1.0, 0.0","A_1, A_2, R_2, R_7",0.0,0.21560318733088896,0.7357512953367875,1,67.27749005928327,4949,2022,0.36363636363636365,0.000856383412445542,142,193
"0.0, 0.0, 1.0, 1.0","A_0, A_2, R_0, R_5",1.0,0.20562798495676804,0.7288135593220338,1,63.653340790684375,4948,2040,0.36363636363636365,0.0008102511724478865,129,177
"0.0, 1.0, 1.0, 1.0","A_0, A_1, A_2, R_3",1.0,1.0,1.0,14,71.58630476561268,4984,2064,0.36363636363636365,0.01275723179740054,188,188
"1.0, 0.0, 1.0, 1.0","A_0, A_1, R_4, R_5",1.0,1.0,1.0,14,76.86675622886744,4999,2079,0.36363636363636365,0.013698248986822825,184,184
"0.0, 1.0, 1.0, 1.0","A_2, R_0, R_4, R_5",1.0,0.18484963672435278,0.7134502923976608,1,73.69721232139733,4874,2114,0.36363636363636365,0.0009381008435348614,122,171
"1.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_4",0.0,1.0,1.0,11,73.44220679503361,4955,2125,0.36363636363636365,0.010283403316468091,175,175
"0.0, 0.0, 0.0, 0.0","A_2, R_0, R_4, R_6",0.0,0.48894551440329226,0.8666666666666667,3,90.38252732202439,4980,2125,0.36363636363636365,0.0034514707863781565,156,180
"1.0, 0.0, 0.0, 1.0","A_2, R_1, R_2, R_6",0.0,0.09848375240851535,0.6290322580645161,1,64.61472724410325,4997,2127,0.36363636363636365,0.00082248877838313,117,186
"0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_1",0.0,1.0,1.0,16,60.06765718769784,4997,2127,0.36363636363636365,0.01223373706591757,172,172
"0.0, 1.0, 0.0, 1.0","A_1, R_2, R_5, R_7",0.0,0.08889699727144242,0.6162790697674418,1,64.70170229383459,4974,2144,0.36363636363636365,0.0008235958944455888,106,172
"1.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, R_0, R_2, R_3, R_4, R_7",1.0,0.5470911036624267,0.8863636363636364,1,84.43731258042705,4882,2154,0.5454545454545454,0.0010748128953924794,39,44
"1.0, 0.0, 0.0, 1.0, 1.0","A_1, R_0, R_1, R_3, R_7",1.0,0.2179908815258362,0.7373737373737373,2,66.3949159068595,4984,2164,0.45454545454545453,0.0016902980358883166,73,99
"1.0, 1.0, 0.0, 0.0, 0.0","A_1, A_2, R_1, R_5, R_7",0.0,0.21208362139917689,0.7333333333333333,1,66.33960061614796,4949,2167,0.45454545454545453,0.0008444449028325777,66,90
"0.0, 0.0, 0.0, 0.0, 1.0","A_1, A_2, R_0, R_1, R_5",0.0,0.20346349914002398,0.7272727272727273,1,66.67039606941145,4938,2175,0.45454545454545453,0.0008486556386795546,64,88
"1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_1, R_3, R_4, R_6",1.0,0.34765472254481466,0.8095238095238095,1,60.82722287769879,4865,2177,0.6363636363636364,0.0007742771713345362,17,21
