Label,A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7
Specificity Sum,35,28,26,26,24,34,41,27,28,21,27
Accuracy Sum,27.85954301075269,22.28273809523809,21.045149071358747,21.30537634408602,20.516666666666666,23.726839929520196,30.403482404692088,21.58394777265745,22.104166666666664,18.127272727272725,21.395833333333332
