A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,1.0,0.0,0.0,0.0,0.0,#,#,1.0,#,#,0.0,1.0,1.0,1,2.0,46,46,0.5454545454545454,,1,1
1.0,1.0,#,0.0,0.0,1.0,0.0,#,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,76,47,0.8181818181818182,,2,2
1.0,#,#,1.0,0.0,#,#,1.0,1.0,#,0.0,1.0,1.0,1.0,1,1.0,50,50,0.5454545454545454,,1,1
1.0,#,1.0,1.0,#,#,#,1.0,#,1.0,1.0,0.0,1.0,1.0,1,3.0,52,52,0.5454545454545454,,1,1
1.0,1.0,#,#,#,0.0,#,#,0.0,#,#,1.0,0.2373046875,0.75,1,2.0,53,53,0.36363636363636365,,3,4
1.0,0.0,#,0.0,0.0,1.0,#,1.0,#,#,1.0,1.0,0.1,1.0,1,1.0,54,54,0.6363636363636364,,0,0
0.0,#,1.0,#,0.0,1.0,0.0,#,#,1.0,#,0.0,1.0,1.0,1,1.0,55,55,0.5454545454545454,,1,1
#,#,#,#,1.0,#,#,#,#,0.0,0.0,0.0,0.07775999999999998,0.6,1,3.6,94,56,0.2727272727272727,,3,5
0.0,#,#,1.0,0.0,#,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,2.0,57,57,0.7272727272727273,,1,1
#,0.0,1.0,#,0.0,#,#,0.0,1.0,#,0.0,1.0,1.0,1.0,1,2.0,58,58,0.5454545454545454,,2,2
#,0.0,#,0.0,1.0,#,1.0,#,1.0,#,#,0.0,0.0,0.0,1,6.5,60,60,0.45454545454545453,,0,2
#,0.0,#,0.0,#,#,1.0,#,#,#,#,1.0,0.0009765625,0.25,2,5.1664,81,60,0.2727272727272727,,2,8
1.0,0.0,#,0.0,0.0,0.0,#,0.0,1.0,#,#,0.0,1.0,1.0,1,3.0,61,61,0.6363636363636364,,1,1
1.0,#,#,#,0.0,0.0,1.0,1.0,#,1.0,#,1.0,1.0,1.0,1,1.0,62,62,0.5454545454545454,,1,1
#,1.0,1.0,#,0.0,#,1.0,#,#,0.0,#,0.0,0.004115226337448558,0.3333333333333333,1,2.0,64,64,0.45454545454545453,,1,3
0.0,1.0,#,#,0.0,1.0,1.0,0.0,#,#,0.0,1.0,1.0,1.0,1,2.0,87,65,0.6363636363636364,,2,2
1.0,0.0,0.0,#,#,#,0.0,0.0,#,#,1.0,0.0,1.0,1.0,1,4.5,67,67,0.5454545454545454,,2,2
#,1.0,0.0,0.0,1.0,#,1.0,#,#,#,0.0,1.0,1.0,1.0,1,2.0,68,68,0.5454545454545454,,1,1
#,0.0,1.0,#,#,1.0,1.0,#,0.0,1.0,0.0,0.0,1.0,1.0,1,3.0,69,69,0.6363636363636364,,1,1
1.0,#,#,1.0,0.0,1.0,0.0,1.0,#,1.0,0.0,1.0,1.0,1.0,1,1.0,70,70,0.7272727272727273,,1,1
#,0.0,#,#,#,#,#,#,1.0,#,#,0.0,0.007415771484375,0.375,1,5.3616,71,71,0.18181818181818182,,3,8
